id,map_label,category,rank,period_family,evidence,certainty,date_label,scenes,focus_scenes,note,lon,lat
CH01F001,Sakhalin passage,gateway,1,paleolithic,interpretive,approximate,Pleistocene,islands,islands,Broad northern approach rather than a single entry point,142.45,45.55
CH01F002,Korean Strait gateway,gateway,1,paleolithic,interpretive,approximate,Pleistocene,islands;rice,islands;rice,Changing western approach that always required attention to water,129.20,34.65
CH01F003,Ryukyu approaches,gateway,2,paleolithic,interpretive,approximate,Pleistocene,islands,islands,Deep southern passages imply deliberate open-sea movement,128.25,27.15
CH01F004,Kozushima obsidian source,production,1,paleolithic,archaeological,secure,"from about 38,000 years ago",islands;paleolithic,paleolithic,Island obsidian demonstrates purposeful sea travel,139.15,34.22
CH01F005,Iwajuku,settlement,1,paleolithic,archaeological,secure,Late Paleolithic,paleolithic,paleolithic,Discovery beneath Jomon layers transformed recognition of the preceramic past,139.31,36.40
CH01F006,Lake Nojiri,settlement,2,paleolithic,archaeological,secure,Late Pleistocene,paleolithic,paleolithic,Faunal and environmental evidence from a changing inland landscape,138.21,36.82
CH01F007,Babadan and Zazaragi,settlement,3,paleolithic,archaeological,disputed,claimed early Paleolithic,paleolithic,,Claims associated with these localities require secure geology and artifacts,140.93,38.65
CH01F008,Kamikuroiwa,settlement,1,paleolithic,archaeological,secure,terminal Pleistocene,paleolithic,paleolithic,Rock-shelter sequence links changing game to projectiles and pottery,132.92,33.65
CH01F009,Fukui Cave,production,1,paleolithic,archaeological,secure,terminal Pleistocene,paleolithic,paleolithic,Early pottery and stone-tool sequence in northwestern Kyushu,129.74,33.22
CH01F010,Uenohara,settlement,2,paleolithic,archaeological,secure,Incipient and Initial Jomon,paleolithic,,Early southern settlement and ceramic evidence,130.72,31.75
CH01F011,Kanto Plain,landscape,1,paleolithic,geographical,secure,physical landscape,paleolithic,jomon-coasts,Volcanic loam river terraces and springs preserve long occupation sequences,139.40,36.10
CH01F012,Natsushima,settlement,1,jomon,archaeological,secure,Initial Jomon,jomon-coasts,jomon-coasts,Shell-mound sequence records changing shorelines and coastal foods,139.64,35.32
CH01F013,Omori Shell Mounds,settlement,2,jomon,archaeological,secure,Late Jomon,jomon-coasts,,The excavation helped give the Jomon period its modern name,139.728,35.588
CH01F014,Hanawadai,settlement,1,jomon,archaeological,secure,Initial Jomon,jomon-coasts,jomon-coasts,Small Kanto settlement with a limited number of simultaneously occupied houses,140.05,36.12
CH01F015,Minabori,settlement,1,jomon,archaeological,secure,Early Jomon,jomon-coasts,jomon-coasts,Successive houses retained an arc around a communal center,139.58,35.50
