id,map_label,period_family,evidence,certainty,rank,scenes,focus_scenes,note,wkt
CH01Z001,Kanto and Chubu concentration,jomon,interpretive,approximate,1,jomon-coasts;jomon-highlands,jomon-highlands,Broad long-lived archaeological concentration rather than a cultural boundary,"POLYGON ((137.20 34.70,139.80 34.70,141.10 36.00,140.20 37.20,137.50 37.30,136.60 36.10,137.20 34.70))"
CH01Z002,Northern Late Jomon concentration,jomon,interpretive,approximate,1,late-jomon,late-jomon,Broad concentration spanning northern Honshu and southern Hokkaido,"POLYGON ((139.20 38.70,142.70 38.50,143.30 42.50,141.70 43.40,139.00 41.70,139.20 38.70))"
CH01Z003,Northern Kyushu early rice core,yayoi,interpretive,approximate,1,rice;yayoi,rice,Archaeological concentration with regional variation in date and practice,"POLYGON ((129.40 32.80,130.90 32.70,131.20 33.80,130.40 34.25,129.45 33.75,129.40 32.80))"
CH01Z004,Setouchi and Kinki adoption corridor,yayoi,interpretive,approximate,2,rice;yayoi,rice,Generalized corridor of uneven agricultural adoption,"POLYGON ((130.70 33.20,133.80 33.45,136.60 34.10,137.20 35.20,135.20 35.40,132.70 34.80,130.70 33.20))"
CH01Z005,Bronze weapon concentration,yayoi,interpretive,approximate,1,bronze,bronze,Northern Kyushu and western Inland Sea concentration that changes through time,"POLYGON ((129.20 32.60,131.60 32.50,134.20 33.60,134.60 34.60,132.20 35.10,129.40 34.20,129.20 32.60))"
CH01Z006,Bronze bell concentration,yayoi,interpretive,approximate,1,bronze,bronze,Eastern Inland Sea Kinki and southern Tokai concentration with overlap at Kibi,"POLYGON ((133.00 33.70,135.00 33.30,138.70 34.20,139.10 35.50,136.60 36.00,134.10 35.20,133.00 33.70))"
CH01Z007,Kyushu candidate field,record,external_record,disputed,2,wa,wa,Generalized field used by major Yamatai hypotheses; not an asserted location,"POLYGON ((129.30 31.80,132.00 31.80,132.20 34.10,130.00 34.30,129.30 31.80))"
CH01Z008,Kinki candidate field,record,external_record,disputed,2,wa,wa,Generalized field used by major Yamatai hypotheses; not an asserted location,"POLYGON ((134.70 33.90,136.70 33.90,136.90 35.40,134.80 35.50,134.70 33.90))"
CH01Z009,Northern Kyushu regional center,yayoi,interpretive,approximate,1,memory,memory,Agricultural maritime and diplomatic center among several late Yayoi fields,"POLYGON ((129.40 32.80,130.90 32.70,131.10 33.80,130.30 34.20,129.40 33.70,129.40 32.80))"
CH01Z010,Izumo regional center,yayoi,interpretive,approximate,1,memory,memory,Materially powerful western center later recast in court tradition,"POLYGON ((132.20 34.80,133.40 34.75,133.50 35.80,132.20 35.85,132.20 34.80))"
CH01Z011,Kibi regional center,yayoi,interpretive,approximate,1,memory,memory,Strategic Inland Sea center between western and Kinki networks,"POLYGON ((133.10 34.10,134.40 34.00,134.50 35.00,133.20 35.10,133.10 34.10))"
CH01Z012,Kinki regional center,yayoi,interpretive,approximate,1,memory,memory,Basin and maritime network where a new scale of centrality emerged,"POLYGON ((134.80 33.90,136.50 33.90,136.70 35.40,134.90 35.50,134.80 33.90))"
