id,map_label,route_family,evidence,certainty,rank,scenes,focus_scenes,note,wkt
CH01R001,Northern approach,movement,interpretive,approximate,1,islands,islands,Broad Pleistocene corridor through Sakhalin and Hokkaido,"LINESTRING (142.70 47.00,142.45 45.55,141.30 43.10)"
CH01R002,Western approach,movement,interpretive,approximate,1,islands,islands,Changing western approach that remained a water crossing,"LINESTRING (127.00 37.50,128.50 35.20,129.33 34.42,129.69 33.79,130.40 33.58)"
CH01R003,Southern open-sea approaches,movement,interpretive,approximate,2,islands,islands,Generalized island corridor whose passages remained deep,"LINESTRING (123.00 24.50,124.20 24.90,125.30 26.20,127.70 26.20,129.50 28.10,130.70 31.50)"
CH01R004,Kozushima obsidian crossing,exchange,archaeological,secure,1,paleolithic,paleolithic,Repeated transport of island obsidian required sea travel,"LINESTRING (139.15 34.22,139.42 34.68,139.65 35.15)"
CH01R005,Highland obsidian exchange,exchange,archaeological,approximate,1,jomon-highlands,jomon-highlands,Generalized connection from Lake Suwa sources toward highland and Kanto communities,"LINESTRING (138.08 36.05,138.30 35.95,138.85 36.10,139.40 36.10)"
CH01R006,Coastal and river exchange,exchange,interpretive,approximate,2,jomon-coasts;late-jomon,,Repeated coastal and river travel joined seasonal communities,"LINESTRING (135.91 35.55,137.50 35.30,139.00 35.45,140.10 35.75)"
CH01R007,Phased rice adoption,diffusion,archaeological,approximate,1,rice,rice,Chronology varied sharply and the line does not represent one advancing front,"LINESTRING (130.45 33.57,132.20 34.20,133.60 34.20,135.80 34.55,138.40 35.00)"
CH01R008,Maritime metal supply,exchange,archaeological,approximate,1,bronze,bronze,Ore ingots objects and scrap crossed the sea before local recasting,"LINESTRING (128.50 35.10,129.33 34.42,129.69 33.79,130.45 33.57,133.60 34.20,135.55 34.60)"
CH01R009,Daifang to northern Kyushu,record,external_record,secure,1,wa,wa,Comparatively secure opening stages of the Wei itinerary,"LINESTRING (125.60 38.00,127.00 35.50,129.33 34.42,129.69 33.79,129.98 33.45,130.21 33.56,130.43 33.56,130.51 33.57)"
CH01R010,Disputed continuation toward Kyushu hypotheses,record,external_record,disputed,2,wa,wa,One family of interpretations; the map does not locate Yamatai,"LINESTRING (130.51 33.57,131.15 33.05,131.65 32.55)"
CH01R011,Disputed continuation toward Kinki hypotheses,record,external_record,disputed,2,wa,wa,One family of interpretations; distances and directions remain contested,"LINESTRING (130.51 33.57,132.20 34.20,133.60 34.20,135.80 34.55)"
CH01R012,Traditional Jimmu itinerary,traditional,retrospective_tradition,traditional,1,memory,memory,Later court tradition rather than a securely dated campaign route,"LINESTRING (131.10 31.80,131.50 33.80,133.50 34.20,134.70 34.60,135.40 34.60,135.70 33.90,136.10 34.30,135.83 34.55)"
